gid,ev_id,iso3disno,iso3year,glide,iso3,id_nat,id_cat,year,start_date,end_date,time_gmt,time_local,duration
8980,DR8039,,COL2001,,COL,DR8039COL,,2001,00000000,00000000,,00000000,0
8981,DR8042,,COL2001,,COL,DR8042COL,,2001,00000000,00000000,,00000000,0
8982,DR8048,,COL2001,,COL,DR8048COL,,2001,00000000,00000000,,00000000,0
8983,DR7768,,COL2000,,COL,DR7768COL,,2000,00000000,00000000,,00000000,0
8985,DR7777,,COL2000,,COL,DR7777COL,,2000,00000000,00000000,,00000000,0
8986,DR7492,,COL1999,,COL,DR7492COL,,1999,00000000,00000000,,00000000,0
8987,DR7175,,COL1998,,COL,DR7175COL,,1998,00000000,00000000,,00000000,0
8988,DR6799,,COL1997,,COL,DR6799COL,,1997,00000000,00000000,,00000000,0
8989,DR6801,,COL1997,,COL,DR6801COL,,1997,00000000,00000000,,00000000,0
9079,DR1471,,COL1983,,COL,DR1471COL,,1983,00000000,00000000,,00000000,0
8990,DR6802,,COL1997,,COL,DR6802COL,,1997,00000000,00000000,,00000000,0
8991,DR6809,,COL1997,,COL,DR6809COL,,1997,00000000,00000000,,00000000,0
8992,DR6810,,COL1997,,COL,DR6810COL,,1997,00000000,00000000,,00000000,0
8993,DR6840,,COL1997,,COL,DR6840COL,,1997,00000000,00000000,,00000000,0
8994,DR6849,,COL1997,,COL,DR6849COL,,1997,00000000,00000000,,00000000,0
8995,DR6215,,COL1995,,COL,DR6215COL,,1995,00000000,00000000,,00000000,0
9080,DR1441,,COL1983,,COL,DR1441COL,,1983,00000000,00000000,,00000000,0
8996,DR6223,,COL1995,,COL,DR6223COL,,1995,00000000,00000000,,00000000,0
8997,DR6243,,COL1995,,COL,DR6243COL,,1995,00000000,00000000,,00000000,0
8998,DR6244,,COL1995,,COL,DR6244COL,,1995,00000000,00000000,,00000000,0
8999,DR5848,,COL1994,,COL,DR5848COL,,1994,00000000,00000000,,00000000,0
9000,DR5853,,COL1994,,COL,DR5853COL,,1994,00000000,00000000,,00000000,0
9081,DR2410,,COL1985,,COL,DR2410COL,,1985,00000000,00000000,,00000000,0
9082,DR2023,,COL1984,,COL,DR2023COL,,1984,00000000,00000000,,00000000,0
9001,DR5863,,COL1994,,COL,DR5863COL,,1994,00000000,00000000,,00000000,0
9002,DR5884,,COL1994,,COL,DR5884COL,,1994,00000000,00000000,,00000000,0
9003,DR5887,,COL1994,,COL,DR5887COL,,1994,00000000,00000000,,00000000,0
9010,DR4819,,COL1991,,COL,DR4819COL,,1991,00000000,00000000,,00000000,0
9011,DR4820,,COL1991,,COL,DR4820COL,,1991,00000000,00000000,,00000000,0
9083,DR1498,,COL1983,,COL,DR1498COL,,1983,00000000,00000000,,00000000,0
9004,DR5895,,COL1994,,COL,DR5895COL,,1994,00000000,00000000,,00000000,0
9005,DR5177,,COL1992,,COL,DR5177COL,,1992,00000000,00000000,,00000000,0
9006,DR5183,,COL1992,,COL,DR5183COL,,1992,00000000,00000000,,00000000,0
9026,DR2404,,COL1985,,COL,DR2404COL,,1985,00000000,00000000,,00000000,0
9047,DR1465,,COL1983,,COL,DR1465COL,,1983,00000000,00000000,,00000000,0
9007,DR5191,,COL1992,,COL,DR5191COL,,1992,00000000,00000000,,00000000,0
9008,DR5214,,COL1992,,COL,DR5214COL,,1992,00000000,00000000,,00000000,0
9009,DR4818,,COL1991,,COL,DR4818COL,,1991,00000000,00000000,,00000000,0
9034,DR2001,,COL1984,,COL,DR2001COL,,1984,00000000,00000000,,00000000,0
9065,DR4823,,COL1991,,COL,DR4823COL,,1991,00000000,00000000,,00000000,0
9012,DR4823,,COL1991,,COL,DR4823COL,,1991,00000000,00000000,,00000000,0
9013,DR4832,,COL1991,,COL,DR4832COL,,1991,00000000,00000000,,00000000,0
9014,DR4434,,COL1990,,COL,DR4434COL,,1990,00000000,00000000,,00000000,0
